Row,tableSlotID,isUnassigned,projectID,isTeam,Category
1,1,FALSE,101,FALSE,SR - Animal Sciences
1,2,FALSE,102,FALSE,SR - Animal Sciences
1,3,FALSE,103,FALSE,SR - Animal Sciences
1,4,FALSE,104,FALSE,SR - Animal Sciences
1,5,FALSE,105,FALSE,SR - Animal Sciences
1,6,FALSE,106,FALSE,SR - Animal Sciences
1,7,TRUE,,,
1,8,FALSE,111,FALSE,SR - Behavioral and Social Sciences
1,9,FALSE,112,FALSE,SR - Behavioral and Social Sciences
1,10,TRUE,,,
1,11,FALSE,113,TRUE,SR - Behavioral and Social Sciences
1,12,TRUE,113,TRUE,SR - Behavioral and Social Sciences
2,1,FALSE,114,FALSE,SR - Behavioral and Social Sciences
2,2,FALSE,115,FALSE,SR - Behavioral and Social Sciences
2,3,FALSE,116,TRUE,SR - Behavioral and Social Sciences
2,4,TRUE,116,TRUE,SR - Behavioral and Social Sciences
2,5,FALSE,117,FALSE,SR - Behavioral and Social Sciences
2,6,FALSE,118,FALSE,SR - Behavioral and Social Sciences
2,7,FALSE,119,FALSE,SR - Behavioral and Social Sciences
2,8,FALSE,120,FALSE,SR - Behavioral and Social Sciences
2,9,FALSE,121,FALSE,SR - Behavioral and Social Sciences
2,10,FALSE,122,FALSE,SR - Behavioral and Social Sciences
2,11,FALSE,123,FALSE,SR - Behavioral and Social Sciences
2,12,FALSE,124,FALSE,SR - Behavioral and Social Sciences
3,1,FALSE,131,TRUE,SR - Biochemistry
3,2,TRUE,131,TRUE,SR - Biochemistry
3,3,FALSE,132,TRUE,SR - Biochemistry
3,4,TRUE,132,TRUE,SR - Biochemistry
3,5,TRUE,,,
3,6,FALSE,141,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
3,7,FALSE,142,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
3,8,FALSE,143,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
3,9,FALSE,144,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
3,10,FALSE,145,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
3,11,FALSE,146,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
3,12,FALSE,147,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,1,FALSE,148,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,2,FALSE,149,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,3,FALSE,150,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,4,FALSE,151,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,5,FALSE,152,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,6,FALSE,153,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,7,FALSE,154,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,8,FALSE,155,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,9,FALSE,156,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,10,FALSE,157,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,11,FALSE,158,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,12,FALSE,159,FALSE,"SR - Biomedical/Health Sciences, and Biomedical Engineering"
4,13,TRUE,,,
4,14,TRUE,,,
5,1,FALSE,171,TRUE,SR - Cellular and Molecular Biology
5,2,TRUE,171,TRUE,SR - Cellular and Molecular Biology
5,3,FALSE,172,FALSE,SR - Cellular and Molecular Biology
5,4,FALSE,173,FALSE,SR - Cellular and Molecular Biology
5,5,FALSE,174,FALSE,SR - Cellular and Molecular Biology
5,6,TRUE,,,
5,7,FALSE,181,FALSE,SR - Chemistry
5,8,FALSE,182,FALSE,SR - Chemistry
5,9,FALSE,183,TRUE,SR - Chemistry
5,10,TRUE,183,TRUE,SR - Chemistry
5,11,TRUE,,,
5,12,FALSE,191,FALSE,SR - Computational Biology and Bioinformatics
5,13,FALSE,192,FALSE,SR - Computational Biology and Bioinformatics
5,14,FALSE,193,FALSE,SR - Computational Biology and Bioinformatics
6,1,FALSE,194,FALSE,SR - Computational Biology and Bioinformatics
6,2,FALSE,195,FALSE,SR - Computational Biology and Bioinformatics
6,3,FALSE,196,TRUE,SR - Computational Biology and Bioinformatics
6,4,TRUE,196,TRUE,SR - Computational Biology and Bioinformatics
6,5,FALSE,197,FALSE,SR - Computational Biology and Bioinformatics
6,6,FALSE,198,FALSE,SR - Computational Biology and Bioinformatics
6,7,FALSE,199,FALSE,SR - Computational Biology and Bioinformatics
6,8,FALSE,200,FALSE,SR - Computational Biology and Bioinformatics
6,9,FALSE,201,FALSE,SR - Computational Biology and Bioinformatics
6,10,FALSE,202,FALSE,SR - Computational Biology and Bioinformatics
